step,timestamp,amount,customer_id,merchant_id,transaction_type,payment_method,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,amount_deducted,amount_credited,is_fraud,type_PAYMENT,type_TRANSFER,type_CASH_OUT,type_DEBIT,type_CASH_IN
103,2025-03-05T07:00:00,10122.0,98421,2813,PAYMENT,UPI,1370308.1761267975,1364453.498455821,1517840.56583068,1527155.760482458,5854.67767097638,9315.194651777856,0,1.0,0.0,0.0,0.0,0.0
436,2025-03-19T04:00:00,168485.0,24242,8668,PAYMENT,NETBANKING,663628.5882328209,583708.8993075355,417091.69527073315,440160.4465288141,79919.68892528536,23068.75125808094,0,1.0,0.0,0.0,0.0,0.0
271,2025-03-12T07:00:00,96489.0,94256,1580,CASH_IN,CARD,447885.3535084469,365635.2031376555,1664075.6960747077,1684663.1773298567,82250.15037079138,20587.481255149003,0,0.0,0.0,0.0,0.0,1.0
107,2025-03-05T11:00:00,283094.0,85940,1205,DEBIT,CARD,644150.0012915243,457496.82170950994,114223.48563360628,158611.5534824759,186653.17958201433,44388.067848869614,0,0.0,0.0,0.0,1.0,0.0
72,2025-03-04T00:00:00,72955.0,52028,4310,PAYMENT,CARD,1888297.0145066492,1831256.251759861,1234301.0723581202,1270596.2249053197,57040.76274678833,36295.15254719951,0,1.0,0.0,0.0,0.0,0.0
701,2025-03-30T05:00:00,179780.0,38090,1160,DEBIT,CARD,4649299.548403736,4628531.038124798,647948.5042233216,794802.4932663441,20768.510278938338,146853.9890430225,0,0.0,0.0,0.0,1.0,0.0
21,2025-03-01T21:00:00,154301.0,27882,3939,TRANSFER,NETBANKING,997347.0282140619,989647.618555741,1199826.621373879,1241013.0795768641,7699.40965832083,41186.458202985115,0,0.0,1.0,0.0,0.0,0.0
615,2025-03-26T15:00:00,945.0,32597,1954,TRANSFER,UPI,1577183.9233800343,1577156.9639390956,757996.4551425923,758130.9479595768,26.959440938662738,134.49281698453706,0,0.0,1.0,0.0,0.0,0.0
122,2025-03-06T02:00:00,15029.0,25430,7171,DEBIT,CARD,14594.672150124554,12382.313394441928,144224.16013632182,150384.8723703989,2212.358755682626,6160.712234077073,0,0.0,0.0,0.0,1.0,0.0
467,2025-03-20T11:00:00,68602.0,99059,2410,TRANSFER,NETBANKING,2123304.9025075403,2077546.827220307,648157.6440162723,715501.1460336369,45758.07528723334,67343.5020173646,0,0.0,1.0,0.0,0.0,0.0
215,2025-03-09T23:00:00,427813.0,67202,9418,CASH_OUT,WALLET,3080196.2055568355,2868847.276167938,3339885.109216941,3344615.899092833,211348.9293888975,4730.789875891991,0,0.0,0.0,1.0,0.0,0.0
331,2025-03-14T19:00:00,31803.0,45388,6659,TRANSFER,UPI,856064.6406547737,832140.7621520513,1405846.6727937367,1421875.3196891116,23923.878502722364,16028.64689537487,0,0.0,1.0,0.0,0.0,0.0
459,2025-03-20T03:00:00,248193.0,73073,5684,CASH_OUT,WALLET,1401630.8138436014,1354044.6863765675,356945.3833919666,523077.8667036949,47586.12746703392,166132.48331172834,0,0.0,0.0,1.0,0.0,0.0
88,2025-03-04T16:00:00,725118.0,55335,6129,PAYMENT,CARD,718967.1514481033,452875.6443805661,2884444.0240002736,3469411.7644732087,266091.50706753717,584967.7404729351,0,1.0,0.0,0.0,0.0,0.0
373,2025-03-16T13:00:00,312671.0,93026,8352,CASH_OUT,WALLET,337157.7081409694,59350.29113843461,1509349.5173638368,1742661.7499399958,277807.4170025348,233312.23257615906,0,0.0,0.0,1.0,0.0,0.0
100,2025-03-05T04:00:00,55664.0,50916,7173,TRANSFER,NETBANKING,1912219.896786833,1860134.2822967006,453259.9834399945,457402.92374867003,52085.61449013231,4142.940308675519,0,0.0,1.0,0.0,0.0,0.0
664,2025-03-28T16:00:00,477989.0,80325,2142,TRANSFER,UPI,908413.6179476613,467837.2208835421,925265.802033539,1146034.7941950257,440576.3970641192,220768.99216148665,0,0.0,1.0,0.0,0.0,0.0
131,2025-03-06T11:00:00,19546.0,49883,6166,CASH_OUT,WALLET,866032.7972912275,850038.2068972794,556321.0286842886,557860.2679634434,15994.590393948136,1539.2392791548045,0,0.0,0.0,1.0,0.0,0.0
662,2025-03-28T14:00:00,126276.0,33229,1939,PAYMENT,CARD,1076260.5714205743,989352.8976147469,101689.92042253226,179962.77104333258,86907.67380582739,78272.85062080032,0,1.0,0.0,0.0,0.0,0.0
309,2025-03-13T21:00:00,437035.0,70914,8788,DEBIT,CARD,1937963.9645703665,1538654.746154074,1640048.7105927542,1673714.1936761225,399309.21841629245,33665.48308336828,0,0.0,0.0,0.0,1.0,0.0
